Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,1576299307,valor de monedas,BROAD,PAUSED,0.3,1362216921,1400173771
N/A,1437631077,app par valor moneda,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631076,valor de monedas app,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631075,coin value identifier,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631074,coin snap money value finder,EXACT,PAUSED,0.7,1362216921,1400173771
N/A,1437631073,valorador de monedas,EXACT,PAUSED,0.7,1362216921,1400173771
N/A,1437631072,coin identifier coin value,EXACT,PAUSED,0.7,1362216921,1400173771
N/A,1437631071,app de monedas valor,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631070,coin master,EXACT,PAUSED,0.4,1362216921,1400173771
N/A,1437631069,valor de monedas gratis,EXACT,PAUSED,0.7,1362216921,1400173771
N/A,1437631068,monedas de valor,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631067,coin scanner,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1437631066,the coin identifier,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631065,pcgs coinfacts coin collecting,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631064,coin collection,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1437631063,coin identifier coin snap,EXACT,PAUSED,0.2,1362216921,1400173771
N/A,1415585373,coinsnap coin identifier,EXACT,ACTIVE,0.2,1362216921,1400173771
N/A,1415585372,maktun,EXACT,ACTIVE,0.5,1362216921,1400173771
N/A,1415585371,numismático,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1415585370,valorant,EXACT,PAUSED,0.8,1362216921,1400173771
N/A,1415585369,coin identification coin value,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1402572493,coin identifier,EXACT,PAUSED,1.5,1362216921,1400173771
N/A,1402572492,coin snap coin identifier app,EXACT,PAUSED,0.2,1362216921,1400173771
N/A,1402572491,coin detect,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1402572490,coinscope,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1402572489,coinscan,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1402572488,valorar monedas,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1402572487,monedas del mundo,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1400384883,coinsnap,EXACT,ACTIVE,0.2,1362216921,1400173771
N/A,1400384882,coin snap,EXACT,ACTIVE,0.1,1362216921,1400173771
N/A,1400384881,guía de valores,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1400384720,coinsnap guía de valores,EXACT,PAUSED,0.2,1362216921,1400173771
N/A,1400384719,valor monedas,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1400384718,identificador de monedas,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1400384717,valor de monedas,EXACT,ACTIVE,0.7,1362216921,1400173771
N/A,1400384716,coinoscope,EXACT,ACTIVE,0.8,1362216921,1400173771
N/A,1400384715,coinsap,EXACT,PAUSED,0.8,1362216921,1400173771
N/A,1400384714,precio monedas,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1400384713,monedas valor,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1400384712,coin scan,EXACT,PAUSED,0.5,1362216921,1400173771
N/A,1400384711,coin snap coin identifier,EXACT,PAUSED,0.2,1362216921,1400173771
N/A,1400384710,valor moneda,EXACT,PAUSED,0.3,1362216921,1400173771
N/A,1400384709,identificador de monedas gratis,EXACT,PAUSED,0.8,1362216921,1400173771
N/A,1400384708,identificar monedas,EXACT,PAUSED,0.8,1362216921,1400173771
N/A,1400384707,coinoscope visual coin search,EXACT,PAUSED,0.5,1362216921,1400173771
